,start_date,end_date,risk_level,quantity_recovered,url,states,0,0
28,2010-04-29,2012-06-03,High,157.0,https://www.fsis.usda.gov/recalls-alerts/north-carolina-firm-recalls-brunswick-stew-products-due-undeclared-allergens,North Carolina,brunswick stew products,undeclared allergens
29,2010-05-01,2012-06-03,High,460.0,https://www.fsis.usda.gov/recalls-alerts/colorado-firm-recalls-fully-cooked-crumbled-pork-sausage-products-possible-listeria,Colorado,fully cooked crumbled pork sausage products,for possible listeria contamination
30,2010-05-04,2012-06-03,High,192.0,https://www.fsis.usda.gov/recalls-alerts/imported-prosciutto-products-listeria,Illinois,,(listeria)
31,2010-05-05,2012-06-03,High,868.0,https://www.fsis.usda.gov/recalls-alerts/imported-prosciutto-products-listeria-0,Delaware,,(listeria)
32,2010-05-05,2012-06-03,Low,6.0,https://www.fsis.usda.gov/recalls-alerts/massachusetts-firm-recalls-buffalo-style-chicken-salad-products-may-contain-foreign,"Maine, Massachusetts",buffalo style chicken salad products,may contain foreign materials
33,2010-05-07,2012-06-04,Low,12821.0,https://www.fsis.usda.gov/recalls-alerts/illinois-firm-recalls-mini-pretzel-dog-products-due-lack-inspection,"Illinois, Minnesota, Wisconsin",mini pretzel dog products,lack of inspection
34,2010-05-10,,,,https://www.fsis.usda.gov/recalls-alerts/fsis-issues-public-health-alert-various-imported-canadian-ready-eat-prosciutto-deli,,various imported canadian ready-to-eat prosciutto deli meat products,
35,2010-05-12,2012-06-04,High,0.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-chicken-and-beef-puff-products-due-mislabeling-and,California,chicken and beef puff products,mislabeling and undeclared allergens
36,2010-05-14,2012-06-04,Low,190890.0,https://www.fsis.usda.gov/recalls-alerts/illinois-firm-recalls-imported-beef-products-due-potential-animal-drug-contaminant,,imported beef products,potential animal drug contaminant
37,2010-05-15,2012-06-04,High,11985.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-ground-beef-products-due-possible-e.-coli-o157h7-0,California,ground beef products,possible e. coli o157:h7 contamination
38,2010-06-17,2012-06-04,High,3772102.0,https://www.fsis.usda.gov/recalls-alerts/texas-firm-recalls-three-varieties-spaghettios-meatballs-may-be-underprocessed,,"three varieties of ""spaghettios"" with meatballs",may be underprocessed
39,2010-06-17,2012-06-04,High,429975.0,https://www.fsis.usda.gov/recalls-alerts/iowa-firm-recalls-frozen-chicken-products-due-possible-salmonella-contamination,,frozen chicken products,possible salmonella contamination
40,2010-06-22,2012-06-04,High,266.0,https://www.fsis.usda.gov/recalls-alerts/new-york-firm-recalls-ground-beef-products-due-possible-e.-coli-o157h7-contamination,"Connecticut, New Jersey, New York",ground beef products,possible e. coli o157:h7 contamination
41,2010-06-22,2012-06-04,High,20768.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-ground-beef-products-due-possible-e.-coli-o157h7-1,California,ground beef products,possible e. coli o157:h7 contamination
42,2010-06-24,2010-06-24,Low,54655.0,https://www.fsis.usda.gov/recalls-alerts/illinois-firm-recalls-imported-beef-products-due-potential-animal-drug-contaminant-0,,imported beef products,potential animal drug contaminant
43,2010-06-25,2012-06-04,Low,96173.0,https://www.fsis.usda.gov/recalls-alerts/illinois-firm-recalls-bbq-chicken-pizza-products-may-contain-foreign-materials,,bbq chicken pizza products,may contain foreign materials
44,2010-06-30,2012-06-04,Low,0.0,https://www.fsis.usda.gov/recalls-alerts/recall-notification-report-28,,,
45,2010-06-30,,High,,https://www.fsis.usda.gov/recalls-alerts/texas-firm-recalls-cervelat-sausage-product-due-undeclared-allergen,Texas,cervelat sausage product,an undeclared allergen
46,2010-07-06,2012-06-04,Low,2901.0,https://www.fsis.usda.gov/recalls-alerts/michigan-firm-recalls-beef-jerky-products-due-mislabeling-and-undeclared-allergen,Illinois,beef jerky products,mislabeling and undeclared allergen
47,2010-07-07,2012-06-04,High,70.0,https://www.fsis.usda.gov/recalls-alerts/colorado-firm-recalls-bison-products-due-possible-e.-coli-o157h7-contamination,,bison products,possible e. coli o157:h7 contamination
48,2010-07-07,2012-06-04,High,5.0,https://www.fsis.usda.gov/recalls-alerts/pennsylvania-firm-recalls-fully-cooked-turkey-breast-products-possible-listeria,Pennsylvania,fully cooked turkey breast products,for possible listeria contamination
49,2010-07-19,2012-06-04,Low,33072.0,https://www.fsis.usda.gov/recalls-alerts/georgia-firm-recalls-frozen-chicken-nugget-products-may-contain-foreign-materials,,frozen chicken nugget products,may contain foreign materials
50,2010-08-03,2012-06-04,High,118892.0,https://www.fsis.usda.gov/recalls-alerts/new-jersey-firm-recalls-canned-meatball-products-due-undeclared-allergen,"Maryland, New Jersey, New York",canned meatball products,undeclared allergen
51,2010-08-06,2012-06-04,High,10121.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-frozen-ground-beef-products-due-possible-e.-coli-o157-h7,California,frozen ground beef products,possible e. coli o157: h7 contamination
52,2010-08-23,2012-06-04,High,168249.0,https://www.fsis.usda.gov/recalls-alerts/new-york-firm-recalls-deli-meat-products-possible-listeria-contamination,,deli meat products,for possible listeria contamination
53,2010-08-28,2012-06-04,High,0.0,https://www.fsis.usda.gov/recalls-alerts/ground-beef-products-e.-coli,Connecticut,,(e. coli)
54,2010-09-01,2012-06-04,High,975.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-cooked-shredded-pork-skin-products-produced-without,California,cooked shredded pork skin products,produced without inspection
55,2010-09-13,2012-06-04,Low,246713.0,https://www.fsis.usda.gov/recalls-alerts/recall-notification-report-29,,,
56,2010-09-24,2012-06-04,Low,5019.0,https://www.fsis.usda.gov/recalls-alerts/wisconsin-firm-recalls-cured-uncooked-sausage-products-due-mislabeling-and,"Alaska, Arkansas, California, Colorado, Georgia, Michigan, Minnesota, Missouri, North Carolina, Ohio, Oklahoma, Wisconsin",cured uncooked sausage products,mislabeling and an undeclared allergen
57,2010-10-04,2012-06-04,Low,420.0,https://www.fsis.usda.gov/recalls-alerts/recall-notification-report-30,Texas,,
58,2010-10-20,2012-06-04,High,212.0,https://www.fsis.usda.gov/recalls-alerts/north-carolina-firm-recalls-ready-eat-pork-barbeque-products-due-possible-salmonella,North Carolina,ready-to-eat pork barbeque products,possible salmonella contamination
59,2010-10-22,2012-06-04,Low,1510.0,https://www.fsis.usda.gov/recalls-alerts/wisconsin-firm-recalls-beef-stick-products-may-contain-foreign-materials,,beef stick products,may contain foreign materials
60,2010-10-27,2012-06-04,Low,,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-ready-eat-pork-products-due-possible-adulteration,California,ready-to-eat pork products,possible adulteration
61,2010-11-04,2012-06-04,High,495.0,https://www.fsis.usda.gov/recalls-alerts/illinois-firm-recalls-meat-and-poultry-canned-products-may-be-underprocessed,Illinois,meat and poultry canned products,may be underprocessed
62,2010-11-05,2012-06-04,High,25.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-ready-eat-chicken-pasta-salad-products-due-possible,California,ready-to-eat chicken pasta salad products,possible salmonella contamination
63,2010-11-14,2012-06-04,High,2543.0,https://www.fsis.usda.gov/recalls-alerts/texas-firm-recalls-fully-cooked-ready-eat-turkey-breast-products-possible-listeria,,fully cooked ready-to-eat turkey breast products,for possible listeria contamination
64,2010-11-23,2012-06-04,High,566.0,https://www.fsis.usda.gov/recalls-alerts/connecticut-firm-recalls-appetizer-products-possible-listeria-contamination,Connecticut,appetizer products,for possible listeria contamination
65,2010-12-02,2012-06-04,High,0.0,https://www.fsis.usda.gov/recalls-alerts/new-york-firm-recalls-various-meat-and-poultry-products-produced-without-inspection,New York,various meat and poultry products,produced without inspection
66,2010-12-03,2012-06-04,High,17857.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-chicken-tamales-due-mislabeling-and-undeclared-allergen,California,chicken tamales,mislabeling and an undeclared allergen
67,2010-12-05,2012-06-04,Low,18132.0,https://www.fsis.usda.gov/recalls-alerts/illinois-firm-recalls-canned-chicken-salad-products-may-contain-foreign-materials,,canned chicken salad products,may contain foreign materials
68,2010-12-08,2012-06-04,Low,204.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-raw-and-ready-eat-pork-products-due-mislabeling-and,California,raw and ready-to-eat pork products,mislabeling and an undeclared allergen
69,2010-12-10,2012-06-04,High,12047.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-sauteed-chicken-products-due-mislabeling-and-undeclared,"California, Hawaii",sauteed chicken products,mislabeling and an undeclared allergen
70,2010-12-17,2012-06-04,Low,8380.0,https://www.fsis.usda.gov/recalls-alerts/texas-firm-recalls-ground-beef-products-due-mislabeling-and-possible-adulteration,New Mexico,ground beef products,mislabeling and possible adulteration
71,2010-12-29,2012-06-04,Low,967.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-teriyaki-beef-jerky-products-due-mislabeling-and-undeclared,,teriyaki beef jerky products,mislabeling and an undeclared allergen
72,2010-12-30,2012-06-04,High,109299.0,https://www.fsis.usda.gov/recalls-alerts/alabama-firm-recalls-breaded-chicken-wing-products-due-mislabeling-and-undeclared,,breaded chicken wing products,mislabeling and undeclared allergen
73,2010-12-30,2012-06-04,High,2990.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-ground-beef-products-due-possible-e.-coli-o157h7-2,California,ground beef products,possible e. coli o157:h7 contamination
74,2011-01-03,2012-06-01,Low,450.0,https://www.fsis.usda.gov/recalls-alerts/recall-notification-report-12,"California, New York",,
75,2011-01-06,2012-06-01,High,20012.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-tamale-products-due-mislabeling-and-undeclared-allergen,"California, Oregon, Washington",tamale products,mislabeling and an undeclared allergen
76,2011-01-10,2012-06-01,Low,38600.0,https://www.fsis.usda.gov/recalls-alerts/new-jersey-firm-recalls-ground-beef-products-due-possible-adulteration,"California, Oregon",ground beef products,possible adulteration
77,2011-01-11,2012-06-01,Low,15589.0,https://www.fsis.usda.gov/recalls-alerts/recall-notification-report-13,"California, Colorado, Minnesota, Washington",,
78,2011-01-14,2012-06-01,Low,38600.0,https://www.fsis.usda.gov/recalls-alerts/new-jersey-firm-expands-recall-ground-beef-products-due-possible-adulteration,"Alabama, Florida, Georgia, Louisiana, Mississippi",,possible adulteration
79,2011-01-14,2012-06-01,Low,9123.0,https://www.fsis.usda.gov/recalls-alerts/colorado-firm-recalls-ground-beef-products-due-mislabeling-and-possible-adulteration,Colorado,ground beef products,mislabeling and possible adulteration
80,2011-01-18,2012-06-01,Low,23.0,https://www.fsis.usda.gov/recalls-alerts/recall-notification-report-14,California,,
81,2011-01-28,2012-01-28,Low,42.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-frozen-veal-ravioli-products-due-mislabeling-and-undeclared,California,frozen veal ravioli products,mislabeling and an undeclared allergen
82,2011-02-05,2012-06-01,High,1788.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-ground-beef-products-due-possible-e.-coli-o157h7,California,ground beef products,possible e. coli o157:h7 contamination
83,2011-02-09,2012-06-02,High,,https://www.fsis.usda.gov/recalls-alerts/alabama-firm-recalls-barbecue-pork-products-due-mislabeling-and-undeclared-allergen,"Alabama, Georgia, Tennessee, Mississippi",barbecue pork products,mislabeling and an undeclared allergen
84,2011-02-16,2012-06-02,Low,63756.0,https://www.fsis.usda.gov/recalls-alerts/colorado-firm-recalls-chili-products-due-mislabeling-and-undeclared-allergen,,chili products,mislabeling and an undeclared allergen
85,2011-02-23,2012-06-02,Low,0.0,https://www.fsis.usda.gov/recalls-alerts/recall-notification-report-15,"Arizona, California, Texas",,
86,2011-02-24,2012-06-02,High,452.0,https://www.fsis.usda.gov/recalls-alerts/arkansas-firm-recalls-various-meat-and-poultry-products-produced-without-inspection,,various meat and poultry products,produced without inspection
87,2011-02-25,2012-06-02,Low,24.0,https://www.fsis.usda.gov/recalls-alerts/recall-notification-report-16,Minnesota,,
88,2011-02-25,2012-06-02,Low,1827.0,https://www.fsis.usda.gov/recalls-alerts/virginia-firm-recalls-whole-chicken-products-may-be-adulterated,New York,whole chicken products,may be adulterated
89,2011-02-28,2012-06-02,High,104.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-chicken-and-mushroom-pie-products-due-mislabeling-and,"California, Colorado, Texas, Florida",chicken and mushroom pie products,mislabeling and undeclared allergen
90,2011-03-01,2012-06-02,High,5937.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-chicken-and-pork-products-possible-listeria-contamination,"Arizona, California, Colorado, Oregon, Washington",chicken and pork products,for possible listeria contamination
91,2011-03-08,2012-06-02,High,7445.0,https://www.fsis.usda.gov/recalls-alerts/kansas-firm-recalls-ground-beef-products-due-possible-e.-coli-o157h7-contamination-1,Arizona,ground beef products,possible e. coli o157:h7 contamination
92,2011-03-09,2012-06-02,High,77.0,https://www.fsis.usda.gov/recalls-alerts/new-york-firm-recalls-bologna-products-due-processing-deviation-and-possible,New York,bologna products,a processing deviation and possible contamination with staphylococcus aureus enterotoxin
93,2011-03-11,2012-06-02,High,26.0,https://www.fsis.usda.gov/recalls-alerts/minnesota-firm-recalls-jerky-products-due-mislabeling-and-undeclared-allergens,,jerky products,mislabeling and undeclared allergens
94,2011-03-11,2012-06-02,Low,3839.0,https://www.fsis.usda.gov/recalls-alerts/minnesota-firm-recalls-honey-cured-turkey-stick-products-due-mislabeling-and,"California, Colorado, Illinois, Missouri, Ohio",honey cured turkey stick products,mislabeling and an undeclared allergen
95,2011-03-14,2012-06-02,Low,0.0,https://www.fsis.usda.gov/recalls-alerts/south-carolina-firm-recalls-spaghetti-and-meatball-entrees-may-contain-foreign,"South Dakota, Minnesota, Wisconsin",spaghetti and meatball entrees,may contain foreign materials
96,2011-03-15,2012-06-02,Low,423.0,https://www.fsis.usda.gov/recalls-alerts/recall-notification-report-17,"California, Georgia, Hawaii, Illinois, New Jersey, New York",,
97,2011-03-17,2012-06-02,High,5648.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-kashi-southwest-style-chicken-products-due-mislabeling-and,,kashi southwest style chicken products,mislabeling and undeclared allergen
98,2011-03-21,2012-06-02,Low,333.0,https://www.fsis.usda.gov/recalls-alerts/recall-notification-report-18,Idaho,,
99,2011-03-22,2012-06-02,High,19.0,https://www.fsis.usda.gov/recalls-alerts/pennsylvania-firm-recalls-lebanon-bologna-products-due-possible-e.-coli-o157h7,"California, Colorado, Maryland, New York, Pennsylvania",lebanon bologna products,possible e. coli o157:h7 contamination
100,2011-03-29,2012-06-02,Low,101216.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-pizza-products-due-mislabeling-and-undeclared-allergen,,pizza products,mislabeling and undeclared allergen
101,2011-03-31,2012-06-02,High,9210.0,https://www.fsis.usda.gov/recalls-alerts/alabama-firm-recalls-frozen-chicken-fillet-products-due-mislabeling-and-undeclared,"New Jersey, Massachusetts",frozen chicken fillet products,mislabeling and an undeclared allergen
102,2011-04-01,2012-06-02,High,52508.0,https://www.fsis.usda.gov/recalls-alerts/minnesota-firm-recalls-turkey-burger-products-due-possible-salmonella-contamination,Wisconsin,turkey burger products,possible salmonella contamination
103,2011-04-27,2012-06-02,Low,44.0,https://www.fsis.usda.gov/recalls-alerts/michigan-firm-recalls-teriyaki-flavored-beef-and-poultry-products-due-mislabeling,Michigan,teriyaki flavored beef and poultry products,mislabeling and an undeclared allergen
104,2011-04-29,2012-06-02,Low,771.0,https://www.fsis.usda.gov/recalls-alerts/washington-firm-recalls-beef-jerky-products-due-mislabeling-and-undeclared-allergen,"Iowa, Minnesota, North Dakota, Wisconsin",beef jerky products,mislabeling and an undeclared allergen
105,2011-04-30,2012-06-02,High,188181.0,https://www.fsis.usda.gov/recalls-alerts/pennsylvania-firm-recalls-reduced-sodium-chicken-noodle-soup-due-mislabeling-and,,reduced sodium chicken noodle soup,"mislabeling and an undeclared allergen10.5-oz. cans of ""great value reduced sodium chicken noodle condensed soup."""
106,2011-05-04,2012-06-02,High,7633.0,https://www.fsis.usda.gov/recalls-alerts/north-carolina-firm-recalls-portobello-mushroom-flavored-pork-loins-due-mislabeling,"Alabama, Florida, Illinois, Kentucky, Maryland, Massachusetts, Mississippi, North Carolina, New Jersey, New York, Pennsylvania, South Carolina, Tennessee, Texas, Virginia",portobello mushroom flavored pork loins,mislabeling and an undeclared allergen
107,2011-05-04,2012-06-02,High,731.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-ready-eat-fresh-salad-products-containing-meat-and-poultry,,ready-to-eat fresh salad products containing meat and poultry,possible salmonella contamination
108,2011-05-06,2012-06-02,Low,6340.0,https://www.fsis.usda.gov/recalls-alerts/indiana-firm-recalls-barbecue-beef-pork-and-chicken-products-due-mislabeling-and,Indiana,"barbecue beef, pork and chicken products",mislabeling and an undeclared allergen
109,2011-05-06,2012-06-02,Low,25313.0,https://www.fsis.usda.gov/recalls-alerts/kentucky-firm-recalls-chicken-products-due-mislabeling-and-undeclared-allergen,"Georgia, Indiana, Kentucky, Ohio, Tennessee",chicken products,mislabeling and undeclared allergen
110,2011-05-11,2012-06-02,Low,17.0,https://www.fsis.usda.gov/recalls-alerts/recall-notification-report-19,Michigan,,
111,2011-05-13,2012-06-02,High,2005.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-deli-meat-products-possible-listeria-contamination,"Arizona, California, Nevada, Oregon, Washington",deli meat products,for possible listeria contamination
112,2011-05-25,2012-06-02,High,0.0,https://www.fsis.usda.gov/recalls-alerts/georgia-firm-recalls-ground-beef-products-due-possible-e.-coli-0157h7-contamination,,ground beef products,possible e. coli 0157:h7 contamination
113,2011-05-27,2012-06-02,High,0.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-chicken-noodle-salad-due-mislabeling-and-undeclared-allergen,,chicken noodle salad,mislabeling and an undeclared allergen
114,2011-05-31,2012-06-02,High,,https://www.fsis.usda.gov/recalls-alerts/michigan-firm-recalls-ground-beef-due-possible-e.-coli-o157h7-contamination,,ground beef,possible e. coli o157:h7 contamination
115,2011-06-02,2012-06-02,Low,2614.0,https://www.fsis.usda.gov/recalls-alerts/recall-notification-report-20,"Illinois, Kansas, Louisiana, Missouri, Nebraska, North Carolina, Pennsylvania, Texas, Virginia",,
116,2011-06-10,2012-06-02,Low,15402.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-meatball-products-due-misbranding-and-undeclared-allergen,"Pennsylvania, Virginia, Texas, Washington",meatball products,misbranding and an undeclared allergen
117,2011-06-15,2012-06-02,High,6698.0,https://www.fsis.usda.gov/recalls-alerts/indiana-firm-recalls-burgoo-soup-due-misbranding-and-undeclared-allergen,Kentucky,burgoo soup,misbranding and an undeclared allergen
118,2011-06-21,2012-06-02,High,526.0,https://www.fsis.usda.gov/recalls-alerts/raw-and-ready-eat-sausage-products-adulterated,,,(adulterated)
119,2011-06-22,2012-06-02,High,27.0,https://www.fsis.usda.gov/recalls-alerts/new-york-firm-recalls-pork-egg-rolls-due-misbranding-and-undeclared-allergens,New York,pork egg rolls,misbranding and undeclared allergens
120,2011-06-22,2012-06-02,High,2684.0,https://www.fsis.usda.gov/recalls-alerts/new-jersey-firm-recalls-imported-ham-products-due-potential-listeria-contamination,,imported ham products,potential listeria contamination
121,2011-07-05,2012-06-02,High,1884.0,https://www.fsis.usda.gov/recalls-alerts/south-carolina-firm-recalls-ham-products-possible-listeria-contamination,,ham products,for possible listeria contamination
122,2011-07-06,2012-06-02,High,0.0,https://www.fsis.usda.gov/recalls-alerts/hawaii-firm-recalls-convenience-meals-possible-listeria-contamination,Hawaii,,
123,2011-07-14,2012-06-02,High,109.0,https://www.fsis.usda.gov/recalls-alerts/massachusetts-firm-recalls-imported-ready-eat-smoked-duck-breast-products-due,"Illinois, Connecticut, Massachusetts, New York, Pennsylvania",imported ready-to-eat smoked duck breast products,possible salmonella contamination
124,2011-07-14,2012-06-02,High,169.0,https://www.fsis.usda.gov/recalls-alerts/new-york-firm-recalls-imported-ready-eat-smoked-duck-breast-products-due-possible,California,imported ready-to-eat smoked duck breast products,possible salmonella contamination
125,2011-07-19,2012-06-02,High,0.0,https://www.fsis.usda.gov/recalls-alerts/georgia-firm-recalls-ready-eat-chicken-products-possible-listeria-contamination,"Georgia, Alabama",ready-to-eat chicken products,for possible listeria contamination
126,2011-07-20,2012-06-02,Low,630.0,https://www.fsis.usda.gov/recalls-alerts/marinated-beef-products-misbranding-and-undeclared-allergens,"Indiana, Missouri, Ohio",,(misbranding and undeclared allergens)
127,2011-07-20,2012-06-02,High,6440.0,https://www.fsis.usda.gov/recalls-alerts/texas-firm-recalls-ready-eat-chicken-products-possible-listeria-contamination,"New Jersey, Texas",ready-to-eat chicken products,for possible listeria contamination
128,2011-07-22,2012-06-02,Low,951.0,https://www.fsis.usda.gov/recalls-alerts/ohio-firm-recalls-various-beef-jerky-products-due-misbranding-and-undeclared,"Ohio, Indiana",various beef jerky products,misbranding and undeclared allergens
129,2011-07-22,2012-06-02,Low,228.0,https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-beef-products-produced-without-inspection,California,beef products,produced without inspection
130,2011-07-22,2012-06-02,High,2300.0,https://www.fsis.usda.gov/recalls-alerts/new-york-importer-recalls-bacon-products-possible-listeria-contamination,"Florida, Illinois, Indiana, Michigan, Ohio",bacon products,for possible listeria contamination
131,2011-07-26,2012-06-02,High,0.0,https://www.fsis.usda.gov/recalls-alerts/georgia-firm-recalls-more-ready-eat-products-possible-listeria-contamination,Georgia,more ready-to-eat products,for possible listeria contamination
